Judul,Penerbit,Tahun Terbit,Tempat Terbit,Pengarang,Tipe Koleksi
statistik untuk biologi farmasi dokter dan ilmu yang taut,mitra wacana media,2010,jakarta,supranto jlimakrisna nandan,farmasi
strategi epidemiologi komunikasi,politeknik harapan bersama tegal,2020,tegal,m teguh prihandoyo m komalfianto reza,farmasi
suplemen farmakope indonesia edisi,penerbit andi & wahana komputer,2016,yogyakarta,madcoms,farmasi
suplemen farmakope herbal indonesia edisi,alex media,2009,jakarta,utama irwin,farmasi
suplemen himpun atur undang farmasi,pt . gramedia,2006,jakarta,tan ilana,farmasi
swamedikasi yang baik dan benar,kementerian kesehatan ri,2011,jakarta,kementerian kesehatan republik indonesia,farmasi
taksonomi tumbuh obat,politeknik harapan bersama tegal,2017,tegal,yerry febrian s m komsodiq akhmad fajar,farmasi
tanam obat paling favorit hancur batu ginj,politeknik harapan bersama tegal,2020,tegal,muhammad bakhar m komsutrisno agus,farmasi
tanam obat pelancar air seni,taman ilmu,2017,surkarta,alaydrus ustadz novel bin muhammad,farmasi
tanam obat plus obat alternatif,komunitas sastrawan tegalan,2021,tegal,mufur dr,farmasi
teknik evaluasi nilai gizi protein,andi,1991,yogyakarta,ibrahim kf,farmasi
teknik laboratorium kimia,andi,2011,yogyakarta,sari fitri ririwicaksana adi burhan,farmasi
teknik laboratorium kimia organik,alfa beta,2010,bandung,muchtadi deddy,farmasi
teknik spektroskop untuk elusidasi struktur molekul,ar-ruzz media,2020,jakarta,barnawi,farmasi
teknologi bahan alam serial farmasi industri ed revisi,erlangga,1999,jakarta,lind douglas a mason robert d,farmasi
teknologi farmasi sedia tablet dasar prakti,pt . rosda jayaputra,1996,jakarta,zein hermagasantos,farmasi
teknologi fermentasi,politeknik harapan bersama tegal,2015,tegal,nusmara reno khaera,farmasi
teknologi awet pangan,erlangga,2006,jakarta,sadiman,farmasi
teknologi sedia farmasi,guna widya,2010,bandung,sutantra i nyomansampurno bambang,farmasi
teori dan praktek farmasi industri i,andi,2019,yogyakarta,ramadhani cipta,farmasi
teori dan praktek farmasi industri ii,cv . andi offest,2010,yogyakarta,mulyanto edysutojobowo nerna z aastuti setiarahayu yuniarsih,farmasi
teori dan praktek farmasi industri iii,graha ilmu,2005,yogyakarta,sudjadi,farmasi
the miracle of colors ajaib buah sayur warna cokelat hijau dan putih,penerbit haru,2017,jakarta,akiyoshi rikako,farmasi
the miracle of colors ajaib buah sayur warna kuning orange dan merah,mizan,2014,bandung,bestari nia prima,farmasi
the miracle of colors khasiat pada buah dan sayur warna ungu biru dan hitam,mc graw hill education,2015,usa,norris donald,farmasi
tip cerdas konsumsi jamu,politeknik harapan bersama tegal,2014,tegal,tunisa meily izza,farmasi
tip buka usaha farmasi dan alat alat sehat,pt . grasindo,2010,jakarta,ardiansyah yulian,farmasi
tips cerdas nali obat,elex media komputindo,2007,jakarta,karsanto sugeng,farmasi
transformasi risinoleat minyak kastor jadi bagai senyawa yang lebih manfaat,politeknik harapan bersama tegal,2018,tegal,maylane boni abdillah m tdany sucipto stwahyudi mochamad aziz,farmasi
tujuh ramu saintifik manfaat mandiri oleh masyarakat,politeknik harapan bersama tegal,2018,tegal,sedayu mohammad agungsumitrayuliana tomiwahyudi johandeni nugraha s t m kom,farmasi
tumbuh obat khasiat,politeknik harapan bersama tegal,2018,tegal,yerry febrian s m komananto dwiandrian tommy ari,farmasi
tumbuh obat khasiat seri,politeknik harapan bersama tegal,2016,tegal,utomo bekti,farmasi
tumbuh obat khasiat afrodisiaka tambah vitalitas pria,politeknik harapan bersama tegal,2015,tegal,fakhruri mukhtar subkhi,farmasi
tumbuh obat dan khasiat seri,badan penelitian dan pengembangan kesehatan,2016,jakarta,kementerian kesehatan ribadan penelitian dan pengembangan kesehatan,farmasi
validasi dan jamin mutu metode analisis kimia,politeknik harapan bersama tegal,2020,tegal,mohammad humam m komhanifah putri septiana,farmasi
validasi dan jamin mutu metode anlisis kimia,politeknik harapan bersama tegal,2020,tegal,miftakhul huda m komsolichatiningsih siti nurlaeli,farmasi
wisata sehat jamu jamu health tourism hortus medicu,politeknik harapan bersama tegal,2015,tegal,iryanto rama,farmasi
summers autumns dari kota apel ke the big appl,pt . gramedia,2013,jakarta,setyawan iwan,fiksi
pesan nabi edisi lengkap komik hadis bukhari muslim,zahira,2015,jakarta,vbi_djenggotten,fiksi
aja kadir,phb press,2017,tegal,daryono yono,fiksi
aku kamu dan hujan,eazy bok,2013,yogyakarta,sari anita,fiksi
alice in cheongdam dong,qanita,2014,bandung,ahn jae kyung,fiksi
alice in cheongdam dong,qanita,2014,bandung,ahn jae kyung,fiksi
analisis bijak sehat prinsip dan aplikasi,politeknik harapan bersama tegal,2015,tegal,agustina wiwit ayu,fiksi
another serendip,media pressindo,2012,yogyakarta,permata lia,fiksi
ayah lelaki itu khianat,republika,2013,jakarta,hamka irfan,fiksi
bintang,apress,2006,yogyakarta,susianilusia,fiksi
bintang di atas alhambra,pustaka pelajar,2011,yogyakarta,nurhayati eti,fiksi
bukan untuk baca the most inspiring stori,mc graw hill companies,2003,usa,elsenpeter robert c velte toby j,fiksi
cahaya palestin,politeknik harapan bersama tegal,2019,tegal,ginanjar wiro sasmito m komprayogo hamzah rizky,fiksi
casablanca forget me not,politeknik harapan bersama tegal,2017,tegal,slamet wiyono s pdm enginsani arizqi ariful,fiksi
cermin,perpustakaan nasional republik indonesia,2018,tegal,buduroh mamlahatun,fiksi
chicken soup for the soul sembah untuk para ibu,bhuana sastra,2015,jakarta,minona,fiksi
cinta abadi laila majnun,pt . gramedia pustaka utama,2010,jakarta,canfield jackhansen mark victoraubery patty,fiksi
cinta tabur di langit mekah,informatika,2011,bandung,djalle zaharudingurnia faizi martha,fiksi
cinta hitam putih,im publising,2012,bandung,fanjavi nizami,fiksi
cinta tak ke mana,erlangga,2009,jakarta,roidah,fiksi
cokelat valentin,andi,2012,yogyakarta,elcom,fiksi
comedy of juno,media pressindo,2007,yogyakarta,petra monica,fiksi
daisuki da yo fani chan,araska,2011,yogyakarta,avriza hernati,fiksi
dan surga pun senyum kisah tulus dan rasa syukur wong cilik,politeknik harapan bersama tegal,2020,tegal,nora rahmanindar s sit m kebmeyliya qudriani s st m kesratih sakti prastiwi s st mph,fiksi
deal with the dist,politeknik harapan bersama tegal,2016,tegal,buana sandyseptiyaningrum heryanirahmawati dwimahadhika septian,fiksi
kata atau tidak kata itu tetap cinta kumpul sajak,politeknik harapan bersama tegal,2017,tegal,sugiono mohamad imam,fiksi
dil dia adalah dil taahun,politeknik harapan bersama tegal,2018,tegal,rizki syahrulzulva silvi maelamohammad humam m komdrs yusup christianto m kom,fiksi
dinding beku suara itu asal dari dinding kamar,politeknik harapan bersama tegal,2018,tegal,dega surono wibowo stm komyulianto muhammad dzaky,fiksi
saat takdir harus renggut,politeknik harapan bersama tegal,2018,tegal,atmo gayuh l s s stsatrio dimasfirdaus ni'am thoriqul,fiksi
dream if jangan pernah ingin jadi orang lain,politeknik harapan bersama tegal,2015,tegal,zakaria fahmi,fiksi
farewel,politeknik harapan bersama tegal,2014,tegal,nurkhikmah,fiksi
fashion terrorist princess,buku kedokteran,2004,jakarta,siregar charles j p,fiksi
fate anda semua tidak jadi,imperium,2010,yogyakarta,perwitasari dyah aryani,fiksi
finding perfect lov,salemba empat,2008,jakarta,frensidy budi,fiksi
from kitchen with lov,elex media komputindo,2003,jakarta,lukman felix,fiksi
gegara skripsi,politeknik harapan bersama tegal,2018,tegal,slamet wiyono s pdm engiskandar afif maulana,fiksi
gerbang dialog danur,politeknik harapan bersama tegal,2020,tegal,robby hardian s ip m dsdessy ratna putry s sn m hum iin indrayanti m pddwi putri anggraeni,fiksi
happy little soul,informatika,2018,bandung,pratama i putu agus eka,fiksi
hari tanpa cinta,andi,2011,yogyakarta,waloeya yuhan jati,fiksi
her beautiful ey,churchill livingstone,2003,sydney,timmis adam,fiksi
hidayah dalam cinta,aksara sukses,2014,yogyakarta,pranata tony s,fiksi
hijrah hati di senja copacabana,bumi aksara,2018,jakarta,indarto,fiksi
hingga ujung waktu,saufa,2014,yogyakarta,indonesianasution kaka alvian,fiksi
i can t stop loving y,mcgraw hill,2012,new york,crandell thomascrandell corinnezanden james vander,fiksi
i heart y,mcgraw hill,2010,new york,lewis ricki,fiksi
i sneak a look at him everyday jatuh cinta diam,eazy book,2012,yogyakarta,azfar adeliany,fiksi
i sneak a look at him everyday mungkin ini cinta,cakrawala,2014,yogyakarta,hwang tifanni,fiksi
ibadah sekian puisi antologi puisi sair kota teg,in azna book,2009,yogyakarta,mardjana,fiksi
imaji anak perempuan antologi cerita pendek ajar sltp kota teg,wiley,2006,jakarta,syamsuni apt,fiksi
izmi lila beneath a million of star,politeknik harapan bersama tegal,2018,tegal,m nishom m komismail ali akbar,fiksi
jaylekong,andi,2017,jakarta,sianipar rh,fiksi
jeda dalam koma,maxicom,2008,palembang,irawan,fiksi
jim dan alif si biang kerok,politeknik harapan bersama tegal,2018,tegal,kadorivery kurnia bakti m kommaryono m komsaputra m dhenny dwi,fiksi
jungkir balik dunia bankir curhat gokil mantan teller bank,maxikom,2011,palembang,jayan,fiksi
kalau baper makan dulu,politeknik harapan bersama tegal,2019,tegal,andri widianto se m sianita kurnia se m sisolekha anis,fiksi
katak dalam tempurung,andi,2005,yogyakarta,sugiartohartadi bambang,fiksi
kau akan mati potong tiga bela,politeknik harapan bersama tegal,2015,tegal,mutmainah nina,fiksi
kau aku dan pucuk angpau merah,politeknik harapan bersama tegal,2021,tegal,eko budihartono st m komlukmanul khakim s kom m tr t tri sulistianto adi,fiksi
kerling si janda,politeknik harapan bersama tegal,2019,tegal,arif rachman se s pd m komsundari eloknawiroh af'idatun,fiksi
kiai hologram,pt . grasindo,2012,jakarta,holistic health solution,fiksi
koala kum,penebar swadaya,2015,jakarta timur,hidayat syamsulnapitupulu rodame m,fiksi
kubah,graha ilmu,2009,yogyakarta,rohman abdul,fiksi
la tahzan for wife rahasia dan motivasi agar istri selalu sayang suami dan kasih anak,andi,2015,yogyakarta,madcoms,fiksi
lipstick,politeknik harapan bersama tegal,2018,tegal,ginanjar wiro sasmito m komwibowo pungky apri,fiksi
love i,politeknik harapan bersama tegal,2019,tegal,martatilova rico agnisdega surono wibowo m komm nishom m kom,fiksi
love is the answ,politeknik harapan bersama tegal,2018,tegal,kurniawati liza budidairoh m scarif wirawan muhammad m kom,fiksi
lupus kecil rumpi kala hujan,modula,2018,bandung,rosa a s,fiksi
matahari,andi,2011,yogyakarta,indriyawan ekoliasie francisca auresayugo tomi,fiksi
perfect lov,politeknik harapan bersama tegal,2017,tegal,amin nur akhmadi mtnur aidi ariyanto stputra thomy sigit parjono,fiksi
janji yang kuat miittsaqan ghaliza,politeknik harapan bersama tegal,2019,tegal,krisdiyawati sesunandar se m si ak carizqiyah fatikhatur,fiksi
sembah untuk bapak semua orang sekarang atau nanti akan temu jalan sendiri,salemba empat,2011,jakarta,waluyo,fiksi
peyempuan,politeknik harapan bersama tegal,2012,tegal,yulindar p aji,fiksi
pride and prejudice and zombi,politeknik harapan bersama tegal,2019,tegal,hesti widianti se msielisa purwitasari se m accaktkhaerunisa,fiksi
princess deokhy,politeknik harapan bersama tegal,2020,tegal,arfan haqiqi sulasmoro m komrais s pd m komistiqomah dwi andari s st m kes,fiksi
putri ong tien kisah jalan putri china jadi istri ulama besar tanah jawa,politeknik harapan bersama tegal,2016,tegal,sugihartono rakhmat,fiksi
rainbow love cerita tentang orang perempuan dan lelaki pilih,politeknik harapan bersama tegal,2016,tegal,kelana oky diassamvita putri nurulwahyudi,fiksi
relationship go,andi,2010,yogyakarta,simarmata janner,fiksi
sandiwara bumi kisah cinta para milik hati,politeknik harapan bersama tegal,2015,tegal,fauzi achmad imam,fiksi
sang takluk kutu,bumi aksara,2016,jakarta,sangadji etta mamangsopiah,fiksi
sayap ruh,politeknik harapan bersama tegal,2020,tegal,arif rakhman se s pd m komfadilah nurachmad sutanto s komdinanta almadheka swihasnikaperkasa tegal panji,fiksi
sea glass snowdrop heartwood,erlangga,2004,jakarta,spiegel murray r,fiksi
see you in uzlifatul jannah,erlangga,2013,"hoboken "" "" nj",didona nancy,fiksi
seishun no tabi,media ilmu,2015,jakarta,yasin a rifail,fiksi
semesta cinta zahara,laksana,2014,yogyakarta,kharisma zian,fiksi
sequence hati yang taut penuh kisah,arcan,1996,jakarta,h heardman,fiksi
serdadu pantai,graha ilmu,2011,yogyakarta,muis saludin,fiksi
sial salman kisah anak sma yang tak biasa,politeknik harapan bersama tegal,2016,tegal,hakim muhammad lukman nur,fiksi
skenario film janji para istri,informatika,2010,bandung,sridadi bambang,fiksi
spring sonata harus tak kau biar dia sepi,graha ilmu,2013,yogyakarta,sitorus marham,fiksi
summer in seoul,politeknik harapan bersama tegal,2017,tegal,heni purwatiningrum s farm apthafani nurachmad aniq barlian s farm,fiksi
sunan kalijaga mistik dan makrifat,politeknik harapan bersama tegal,2020,tegal,samroni akhmad,fiksi
tajwid cinta hadwan kaliya,politeknik harapan bersama tegal,2012,tegal,tomy,fiksi
taman iram,politeknik harapan bersama tegal,2019,tegal,mu'minin amirulwahyuningsih dessyulfah ides mariamaryono m kommuhammad bakhar m kom,fiksi
the angel of gaza,pt . gramedia,1987,jakarta,djojodihardjo harijono,fiksi
the dead return,andi,2006,yogyakarta,sulistyowati endang,fiksi
the endless frienship,tim,2013,jakarta,suwariyah puji,fiksi
the iron empress ambisi keji orang ibu suri,pt . nasya expanding management ( penerbit nem-anggota ikapi ),2021,pekalongan,moh nasrudin,fiksi
the master s sun,gramedia pustaka utama,2020,jakarta,andri wang,fiksi
the master s sun lelaki yang jebak di dunia hantu,politeknik harapan bersama tegal,2014,tegal,kristanto,fiksi
the prince of blangkon,rapha publishing,2013,yogyakarta,khotimah khusnultim redaksi cemerlang,fiksi
travel in lov,plantaxia,2016,jakarta,marham sitorus,fiksi
uhibbuka fillah aku cinta karena allah,gava media,2019,jakarta,riyanto,fiksi
wonderful radio,politeknik harapan bersama tegal,2015,tegal,padila deva,fiksi
yasmin dari setapak yakin jalan ku mula,bunyan,2014,yogyakarta,islami diyana millah,fiksi
yuk no hana,noura books,2014,jakarta,angela primadonna,fiksi
rethorika,politeknik harapan bersama tegal,2015,tegal,arianti desi,fiksi
tip trik jitu optimalisasi linux ubuntu,andi,2010,yogyakarta,kindarto asdani,informatika
in javascript jquery dan jquery mobil,elex media komputindo,2014,jakarta,zaki aliwinarno edysmitdev community,informatika
administrasi jaring dengan linux ubuntu,andi,2011,yogyakarta,westriningsih,informatika
adobe dreamweaver cs dan php mysql untuk mula,andi,2012,yogyakarta,madcoms,informatika
adobe fireworks cs untuk desain web,penerbit andi & wahana komputer,2013,yogyakarta,wahana komputer,informatika
ajax bangun web dengan teknologi asynchronouse javascript xml,andi,2009,yogyakarta,sunyoto andi,informatika
algoritma pemrograman dengan c edisi,graha ilmu,2013,yogyakarta,kristanto andri,informatika
algoritma pemrograman guna c c,andi,2012,yogyakarta,kadir abdul,informatika
algoritma struktur data dengan c,graha ilmu,2005,yogyakarta,yatini b indranasution erliansyah,informatika
algoritma algoritma struktur data dengan c c dan java edisi,mitra wacana media,2013,jakarta,sjukani moh,informatika
algoritma dan pemrograman,graha ilmu,2005,yogyakarta,pranata antony,informatika
algoritma dan pemrograman guna java,andi,2012,yogyakarta,kadir abdul,informatika
algoritma dan struktur data non linear dengan java,graha ilmu,2011,yogyakarta,siswanto,informatika
algoritma data min,andi,2009,yogyakarta,kusriniluthfi emha taufiq,informatika
amazing news website with php ajax and my sql,andi,2009,yogyakarta,wirawan mochamad joko adi,informatika
analisis ancang sistem informasi untuk unggul saing usaha organisasi modern,andi,2005,yogyakarta,jogiyanto,informatika
analisis abc dengan konsep dalam kendali sedia spare part jenis oil sepeda motor yamaha pada pt bahana cahaya sejati,andi,2007,yogyakarta,fatta hanif al,informatika
analisis activity based costing dalam tentu harga pokok kamar hotel bahari inn teg,politeknik harapan bersama tegal,2017,tegal,sunandarmsiakcaririh sri h msirisqy ghita maudy,informatika
analisis dan desain sistem informasi,politeknik harapan bersama tegal,2019,tegal,andri widianto se m siarifia yasmin se m siakthutapea yosua,informatika
analisis ancang sistem orientasi objek dengan uml unified modeling languag,informatika,2018,bandung,munawar,informatika
android pemrograman aplikasi mobile smartphone dan tablet pc bas android edisi revisi,informatika,2012,bandung,safaat h nazruddin,informatika
android programming with eclips,andi,2013,yogyakarta,wahana komputer,informatika
android pemrograman aplikasi mobile smartphone dan tablet pc bas android revisi dua,informatika,2014,bandung,safaat h nazruddin,informatika
animasi iklan flash untuk orang awam,maxikom,2008,palembang,sudirman,informatika
aplikasi android dengan eclips,maxikom,2014,palembang,irawan,informatika
aplikasi arduino dan sensor,informatika,2019,bandung,wicaksono mochamad fajar,informatika
aplikasi bas android edisi revisi bagai implementasi dan kembang aplikasi mobile bas android,informatika,2015,yogyakarta,safaat h nazruddin,informatika
aplikasi cerdas guna delphi,andi,2009,yogyakarta,wahana,informatika
aplikasi pemrograman javascript untuk halaman web,andi,2012,yogyakarta,madcoms,informatika
aplikasi pemrograman web dinamis dengan php dan mysql,gava media,2009,yogyakarta,nugroho bunafit,informatika
aplikasi program php mysql untuk buat website interaktif,andi,2004,yogyakarta,madcoms,informatika
aplikasi program php mysql untuk buat website interaktif,andi,2009,yogyakarta,madcoms,informatika
aplikasi sistem pakar tentu faktor pasti guna dengan metode kuantifikasi tanya,andi,2008,yogyakarta,kusrini,informatika
arduino dan johnny five dasar pemrograman arduino guna javascript robotics programming framework,andi,2019,bandung,kadir abdul,informatika
arsitektur digit,universitas atma jaya yogyakarta,2010,yogyakarta,satwiko prasasto,informatika
artificial intellig,andi,2019,yogyakarta,robandi imam,informatika
artificial intelligence searching reasoning planning dan learning revisi dua,informatika,2014,bandung,suyanto,informatika
astah analisis serta ancang sistem informasi lalu dekat uml,andi,2014,yogyakarta,tohari hamim,informatika
bahasa pemrograman perl konsep dan terap untuk teks grafik web xml database dan administrasi sistem dan jar,egc,2020,jakarta,yuwono tedjosuyono y joko,informatika
balajar sendiri pasti bisa pemrograman java,egc,2008,jakarta,muliawan sylvia y,informatika
ajar java cara visual interaktif,pusat studi bahasa,2015,yogyakarta,irawati luvia febriana,informatika
ajar machine learning teori dan praktik,andi,2008,yogyakarta,mulyana eueung,informatika
ajar otodidak bahasa pemrograman sql guna mariadb,informatika,2012,bandung,m sholeh,informatika
ajar otodidak flask framework python untuk kembang aplikasi web,gava media,2020,jakarta,randi adrika putra,informatika
ajar otodidak framework codeigniter teknik pemrograman web dengan php dan framework codelgniter edisi revisi,informatika,2017,bandung,raharjo budi,informatika
ajar otodidak framework codeigniter teknik pemrograman web dengan php dan framework codelgniter,informatika,2018,bandung,raharjo budi,informatika
ajar otodidak framework yii pemrograman web dengan php dan framework yii,informatika,2015,bandung,raharjo budi,informatika
ajar otodidak buat database guna mysql,informatika,2015,bandung,raharjo budi,informatika
ajar otodidak mysql teknik buat dan kelola databas,informatika,2011,bandung,raharjo budi,informatika
ajar pemrograman delphi,andi,2008,yogyakarta,wahana komputer,informatika
ajar sendiri pasti bisa pemrograman php,elex media komputindo,2007,jakarta,priyanto rahmat,informatika
ajar singkat php,elex media komputindo,2008,jakarta,wijaya hendra,informatika
bhc book series praktis web stati,wiley,2003,"hoboken "" "" nj",hope jeremyfraser robin,informatika
bikin aplikasi android dengan angular mobile mongodb,politeknik harapan bersama tegal,2015,tegal,anwar muhammad ibnu,informatika
bootstrap design framework,republika,2019,jakarta,a makmur makka,informatika
buku pintar app inventor tingkat lanjut,pradnya paramita,1991,jakarta,arismunandarkuwahara,informatika
buku pintar app inventor untuk mula cara mudah dan cepat untuk ajar buat bagai aplikasi android,ugm,1995,yogyakarta,voigt r,informatika
buku pintar virtu,saufa,2014,yogyakarta,manan el,informatika
c untuk programm,politeknik harapan bersama tegal,2019,tegal,ginanjar wiro sasmito m kompusaka khibar,informatika
cara cepat kuasa java desktop dengan metode pro oop,andi,2013,yogyakarta,utomo eko priyo,informatika
cara efektif ajar framework laravel,andi,2015,jakarta,hudaya kharisman kholid,informatika
cara mudah buat aplikasi ajar bas android dengan thunk,laksana,2016,yogyakarta,putra sitiatava rizema,informatika
cara mudah buat game di android,elex media komputindo,2011,jakarta,yuhefizar,informatika
cepat mahir delphi,mediakita,2008,jakarta,oneto erima,informatika
cisco ccna jaring komput,pt . buku seru,2013,jakarta,nurcahyanti ima,informatika
cisco ccna ccnp routing dan switch,scritto books publisher,2015,yogyakarta,sailendra annie,informatika
cloud computing teori dan praktik opennebula vmware dan amazon aw,mcgraw hill,2011,new york,masters ruth e,informatika
cloud computing aplikasi bas web yang ubah cara kerja dan kolaborasi anda cara onlin,mcgraw hill,2012,new york,witte raymond h,informatika
codeigniter vs laravel kasus buat website cari kerja,informatika,2012,bandung,sofana iwan,informatika
computer secur,informatika,2017,bandung,hendratman hendi,informatika
computing essentials introductori,cv . andi offest,2017,yogyakarta,putra ar budiman,informatika
customer relationship management crm teori dan praktek bas open sourc,mitra wacana media,2016,jakarta,rambat lupiyoadi,informatika
cybercrime an introduction to an emerging phenomenon,politeknik harapan bersama tegal,2018,tegal,ginanjar wiro sasmito m komjamil sobrun,informatika
dasar bioinformatika dengan r,andi,2010,yogyakarta,kadir abdul,informatika
dasar pemrograman delphi,teknosain,2017,jakarta,bens pardamean,informatika
dasar pemrograman internet dengan xhtml css javascript dhtml,andi,2004,yogyakarta,blocher richard,informatika
dasar pemrograman komputer dalam bahasa java,andi,2018,yogyakarta,kadir abdul,informatika
dasar pemrograman python,andi,2017,yogyakarta,sianipar rh,informatika
dasar pemrograman python pandu untuk ajar python dengan cepat dan mudah bagi mula,andi,2009,yogyakarta,suarga,informatika
dasar pemrograman web dinamis guna php,andi,2018,yogyakarta,kadir abdul,informatika
dasar dan step by step four in one web programming html javascript php dan mysql,andi,2004,yogyakarta,setyawan andri,informatika
data mining konsep dan aplikasi guna matlab,politeknik harapan bersama tegal,2015,tegal,haryanto dani,informatika
data mining untuk klasifikasi dan klasterisasi data edisi revisi,andi,2012,yogyakarta,prasetyo eko,informatika
database rasional dengan mysql,politeknik harapan bersama tegal,2016,tegal,istianah khafidhotul,informatika
debian gnu linux,senja,2014,yogyakarta,brevis vita,informatika
deep learning modernisasi machine learning untuk big data,konsorsium rumah sakit islam jateng-diy,2004,yogyakarta,sabarguna boy s,informatika
e business e commerc,politeknik harapan bersama tegal,2015,tegal,sari isna mardika,informatika
e commerce teori dan implementasi,politeknik harapan bersama tegal,2012,tegal,prasetyo eko,informatika
e commerce e business dan mobile commerce basis open sourc,politeknik harapan bersama tegal,2015,tegal,karomah indah,informatika
e learning teori dan aplikasi,politeknik harapan bersama,2021,tegal,joko santoso m farmaldi budi riyanta s si mtmuhammad nur fauzi,informatika
enterprise resource plan,indonesia publishing house,2012,bandung,bangun abednego,informatika
esensi bahasa pemrograman java,graha ilmu,2012,yogyakarta,wijaya santo f alianto hendra,informatika
esensi bahasa pemrograman java revisi lima,egc,2016,jakarta,cunha burke a,informatika
esensi bahasa r,informatika,2014,bandung,hariyanto bambang,informatika
exploring android on your pc,egc,2016,jakarta,pratami evi,informatika
framework codeigniter guna framework codeigniter x untuk mudah kembang pemrograman aplikasi web dengan php,politeknik harapan bersama tegal,2020,tegal,very kurnia bakti m kombadruzzaman muhammad irhash,informatika
framework php yii develop aplikasi web dengan cepat dan mudah,mcgraw-hills,2011,new york,gonzalez janetmena,informatika
from zero to a pro pemrograman aplikasi android,republika,2008,jakarta,heliana lia,informatika
from zero to a pro pemrograman c,andi,2015,yogyakarta,kadir abdul,informatika
from zero to a pro java script jquery rahasia untuk meguasai aplikasi web yang interaktif dinami,andi,2015,yogyakarta,kadir abdul,informatika
from zero to a pro delphi,andi,2013,yogyakarta,kadir abdul,informatika
from zero to a pro buat aplikasi web dengan php dan database mysql,andi,2013,yogyakarta,kadir abdul,informatika
fundamental of python for machine learn,politeknik harapan bersama tegal,2005,tegal,potterperry,informatika
fundamental teknologi seluler lte long term evolut,gava media,2018,jakarta,teguh wahyono,informatika
green computing teknologi konsep teori dan praktek di dalam guna manfaat dan kembang teknologi bas komputer dan komputasi yang ramah lingkung,graha ilmu,2010,yogyakarta,nafisah syifauneffendy nazrul,informatika
hackintosh jalan mac os x dengan pc anda,andi,2007,yogyakarta,paulus ericknatalia yessica,informatika
html css ajar dari kasu,andi,2005,yogyakarta,dachjar dadang,informatika
implementasi teknologi barcode dalam dunia bisnis lengkap buat aplikasi jual parkir absensi,politeknik harapan bersama tegal,2020,tegal,anita karunia se m siyeni priatna sari m si ak cariskyandre syenur noval,informatika
integrasi dan migrasi sistem teori dan praktik,politeknik harapan bersama tegal,2019,tegal,ginanjar wiro sasmito m komanam khaerul,informatika
ipv fondasi internet masa depan,depkes ri,2010,jakarta,indonesia,informatika
jee dalam aplikasi enterpris,bumi aksara,2013,jakarta,nugraha boyke dian,informatika
java algoritma struktur data dan pemrograman gui,politeknik harapan bersama tegal,2019,tegal,heri budi susilo s kommaulana muh rezamukarrom goib,informatika
komputasi numerik pemrograman matlab untuk metode numerik,pt . gramedia pustaka utama,2013,jakarta,nugraha pepih,informatika
komputer forensik lacak jahat digit,graha ilmu,2014,yogyakarta,muis saludin,informatika
komunikasi data,salemba medika,2009,jakarta,priyanto agus,informatika
konsep dan implementasi pemrograman laravel,jasakom,2002,yogyakarta,towidjojo rendra,informatika
konsep dan implementasi struktur data dengan c,andi,2004,yogyakarta,kristanto harianto,informatika
kreasi desain dengan adobe photoshop dan coreldraw,politeknik harapan bersama tegal,2021,tegal,arif rakhman se s pd m komlukmanul khakim s kom m tr t apoen bomo kuncoro,informatika
kriptografi aman data dan komunikasi,elex media komputindo,2005,jakarta,agung gregorius,informatika
kriptografi edisi dua,elex media komputindo,2005,jakarta,agung gregorius,informatika
kumpul solusi pemrograman c,mitra wacana media,2008,jakarta,sjahrial dermawan,informatika
kumpul solusi pemrograman python,mitra wacana media,2008,jakarta,sjahrial dermawan,informatika
kumpul solusi pemrograman python edisi revisi,maxikom,2011,palembang,chandra,informatika
kupas tuntas adobe dreamweaver cs dengan pemrograman php mysql,informatika,2016,bandung,raharjo budi,informatika
kupas tuntas autodesk autocad d,informatika,2019,bandung,raharjo budi,informatika
kupas tuntas autodesk autocad d,trans info media,2014,jakarta,heryani reni,informatika
kupas tuntas macam aplikasi generasi cloud comput,al hikmah,2007,surakarta,bakar abu,informatika
kupas tuntas database server konsep konfigurasi manipulasi programming maintenace secur,andi,2010,yogyakarta,madcoms,informatika
kupas tuntas pemrograman php mysql dengan adobe dreamweaver cc,andi,2011,yogyakarta,wahana komputer,informatika
lancar java dan javascript,bumi aksara,2019,jakarta,oemar hamalik,informatika
langkah cerdas basmi virus komput,diva press,2017,yogyakarta,dewi reza mugia,informatika
langkah mudah ajar kalkulus for it lengkap dengan contoh soal baha,politeknik harapan bersama tegal,2015,tegal,mudawamah lulu,informatika
live coding aplikasi android buat sendiri,informatika,2010,bandung,triadi handaya wilfridus bambangsuteja bernard renaldyashari ahmad,informatika
mac os x mountain lion,matematika,2016,jakarta,eka susilowati,informatika
machine learning konsep dan implementasi,andi,2006,yogyakarta,dwijono djonisoesianto f,informatika
machine learning tingkat dasar dan lanjut,noura books,2013,jakarta,anggun navika,informatika
machine learning and computational intellig,cakrawala,2014,yogyakarta,faurine jenny thalia,informatika
manajemen modern dengan scrum,erlangga,2011,jakarta,wibisono dermawan,informatika
manajemen proyek bas teknologi informasi,politeknik harapan bersama tegal,2015,tegal,iswandi dwi,informatika
manajemen proyek bas teknologi informasi kelola proyek cara sistematis guna microsoft project,intimedia,2017,jakarta,istiyono kirnoprasetyo,informatika
