judul,penerbit,tahun_terbit,tempat_terbit,pengarang,tipe_koleksi,prediksi
Manajemen pengadaan procurement management ABG (Academic Business Government),Politeknik Harapan Bersama Tegal,2015,Tegal,Lestari Santi,manajemen & bisnis,manajemen & bisnis
Reliability Centred Maintenance,Andi,2010,Yogyakarta,Pressman Roger S ,mesin,elektronika
Reparasi Mesin Mobil,Politeknik Harapan Bersama Tegal,2012,Tegal,Sutanto Achmad,mesin,mesin
Reparasi Sistem Pelumasan Mesin Mobil,Bumi Aksara,2015,Jakarta,Ibrahim H Bachtiar,mesin,mesin
Reparasi Sistem Pendinginan Mesin Mobil,Elex Media Komputindo,2006,Jakarta,Darmawan Djoko,mesin,mesin
Servis dan Reparasi Auto Mobil,ITB Bandung,2007,Bandung,Agoes Goeswin,mesin,mesin
Servis dan Teknik Reparasi Sepeda Motor,Penerbit ITB,2008,Bandung,Agoes Goeswin,mesin,mesin
Simbol dan Rangkaian Kelistrikan Mobil,Politeknik Harapan Bersama Tegal,2013,Tegal,Ayunani Vita,mesin,mesin
Sistem Bahan Bakar Bensin dan Disel,Politeknik Harapan Bersama Tegal,2013,Tegal,Budi S a Nursalim,mesin,mesin
Sistem dan Sumber Kelistrikan Otomotif,Andi,2014,Yogyakarta,Nugroho Adi,mesin,informatika
Sistem Pengapian Mobil,Politeknik Harapan Bersama Tegal,2018,Tegal,Much  Sobri Sungkar M KomMuh  Nana Aviciena S PdApriliyanto Widodo,mesin,manajemen & bisnis
25 paket Snack Box & Coffee Break harga 15ribu (Usaha Rumahan Mudah & Murah Dilengkapi perhitungan harga jual),PT. Gramedia Pustaka Utama,2017,Jakarta,Erwin Kuditawati,perhotelan,perhotelan
Analisis Food Product : studi food cost dan pedoman training,Politeknik Harapan bersama,2021,Tegal,apt  Rizki Febriyanti M FarmWilda Amananti S Pd  M SiTarpiah,perhotelan,perhotelan
Dasar-Dasar Food Product Panduan Untuk Uji Kompetensi,Nuha Medika,2017,Jakarta,Ayu Putri Ariani,perhotelan,perhotelan
Dasar-Dasar Kantor Depan Hotel,Nuha Medika,2017,Jakarta,Hermayudi,perhotelan,perhotelan
Food & Beverage Service Operational : job preparation,Politeknik Harapan Bersama Tegal,2017,Tegal,Rizal Nur Ependi S KomMaylana Boni Abdillah MTTarom,perhotelan,perhotelan
Food Product Management di Hotel dan Restoran,McGraw Hill,2010,New York,Kapoor Jack R Dlabay Ley R Hughes Robert J,perhotelan,perhotelan
Front Office Praktis : administrasi dan prosedur kerja,Politeknik Harapan Bersama Tegal,2019,Tegal,Ginanjar Wiro Sasmito M KomWibowo Novianto AriefM  Fikri Hidayatullah M Kom,perhotelan,perhotelan
Hotel Communication Management,Penebar Plus,2011,Jakarta,Wong M FerryRusdiansari Erina,perhotelan,perhotelan
Housekeeping Passport : manajemen operasional housekeeping dasar,EGC,2011,Jakarta,Kusmohartono juliarti dwi,perhotelan,perhotelan
Jajanan Jakarta (Seri masak femina PRIMARASA Hidangan Nusantara Populer),Politeknik Harapan Bersama Tegal,2019,Tegal,Dega Surono Wibowo ST M KomKurniasari Murni,perhotelan,perhotelan
CONFERENCE PROGRAM Asian Academic Accounting Association: 16th Annual Conference (Prosiding),McGraw Hill,2013,New York,O'Leary Timothy J O'Leary Linda I,prosiding,prosiding
ISPHE Proceedings Book 2 (PROSIDING),Politeknik Harapan Bersama Tegal,2012,Tegal,Prasetyo Wido,prosiding,prosiding
"Proceeding Book Simposium dan Workshop Nasional Pengembangan Pendidikan & Pelayanan Kebidanan Indonesia : Penguatan profesi Bidan Melalui Optimalisasi Sistem Pendidikan dan Pengembangan Pelayanan Kebidanan"" (PROSIDING)""",Bumi Aksara,2013,Jakarta,Terry George R ,prosiding,prosiding
"Proceeding Book Simposium dan Workshop Nasional Pengembangan Pendidikan dan Pelayanan Kebidanan Indonesia : Membangun karakter Dosen Kebidanan Demi Tercapainya Lulusan Bidan Profesional, Komunikatif dan Berakhlak"" (PROSIDING)""",Suluh Media,2018,Jakarta,H R  Mulyanto,prosiding,prosiding
"Proceeding Book Simposium dan Workshop nasional Pengembangan Pendidikan dan Pelayanan Kebidanan Indonesia 1 : Penguatan Profesi Bidan Melalui Optimalisasi Sistem Pendidikan dan Pengembangan Pelayanan Kebidananan"" (PROSIDING)""",Erlangga,2011,Jakarta,Hurst Ken,prosiding,prosiding
Proceeding Book The 47th Asia Pasific Academic Consortium for Public health Conference (PROSIDING),Airlangga University Press,1998,Surabaya,SiswandonoSoekardjo Bambang,prosiding,prosiding
"Prosiding 2nd SENIT (Seminar Nasional IPTEK Terapan) 2017 : Sinergitas Lembaga Pendidikan dan Inovasi IPTEK Terapan dalam Meningkatkan Publikasi Ilmiah untuk Membangun Jiwa Technopreneur Berbasis Pendidikan Vokasi"" (PROSIDING)""",Politeknik Harapan Bersama Tegal,2018,Tegal,Ratih Wulandari M MWijatmiko PanjiEko Supriyanto ST,prosiding,prosiding
"Prosiding 4th ICIBA (International Conference on Information Technology and Engineering Application) : IT & Engineering For a Better Life"" (PROSIDING)""",Politeknik Harapan Bersama Tegal,2020,Tegal,Heri Budi Susilo S KomNaufal Sandika,prosiding,prosiding
"Prosiding PIT (Pertemuan Ilmiah Tahunan) Bidan 1 Bagian I : Sub Kegiatan Naskah Penelitian Poster dan Oral Presentasi"" (PROSIDING)""",Politeknik Harapan Bersama Tegal,2017,Tegal,Miftakhul Huda M KomSari Fatma Finta,prosiding,prosiding
"Prosiding PIT (Pertemuan Ilmiah Tahunan) Bidan 1 Bagian II : Paparan Narasumber Bidang Kebijakan, Pendidikan dan Organisasi"" (PROSIDING)""",Politeknik Harapan Bersama Tegal,2020,Tegal,Heri Budi Susilo S KomNagar K Sintia,prosiding,prosiding
Penerapan File Sharing Linux Ubuntu 12.04 Dengan Windows Menggunakan Konfigurasi Samba Server Di Tri Laptop (TA),Politeknik Harapan Bersama Tegal,2016,Tegal,Alfiyah Nofi,referensi,referensi
Penerapan Sistem Pakar Untuk Diagnosis Awal Penyakit Hepatitis Menggunakan Metode Forward Chaining Dan Certainty Factor,Politeknik Harapan Bersama Tegal,2017,Tegal,Permadi Sandi Bagus,referensi,referensi
Pengaruh Disiplin Dan Semangat Kerja Terhadap Produktivitas Kerja Karyawan Pada Toko Emas Hidup Banjaran (TA),Apress,2013,"Sebastopol, CA",Laeli Siti NUr,referensi,referensi
Rancang Bangun Sistem Informasi Bengkel Motor Berbasis Website (Studi Kasus: Bengkel Slamet Motor) (TA),Politeknik Harapan Bersama Tegal,2021,Tegal,Rais S Pd M komSyamsul Falah AnnurHepatika Zidny Ilmadina S Pd M Kom,referensi,referensi
Rancang Bangun Sistem keamanan dan monitoring ruangan Laboratorium Yang Terintegrasi Dengan Web (TA),Politeknik Harapan Bersama Tegal,2018,Tegal,Rahman Nur FathurGinanjar Wiro Sasmito M KomM Yoka Fathoni M Kom,referensi,referensi
Sistem Kontrol Tirai Ruang Pemeriksaan Di Klinik Medical Tegal (TA),Politeknik Harapan Bersama Tegal,2017,Tegal,Setyowati AriniLatief FaizalFaqih FataRoziqin RaafiRais S Pd M komIrawan Pudja Hardjana ST,referensi,referensi
Undang-Undang Nomor 14 Tahun 2008 tentang Keterbukaan Informasi Publik,Politeknik Harapan Bersama Tegal,2021,Tegal,Amin Nur Akhmadi M TM  Wawan Junaidi U M EngPandu Aji Sasongko,referensi,referensi
Varian Makanan Jepang (SERI MASAK femina PRIMARASA),Politeknik Harapan Bersama Tegal,2018,Tegal,Taufiq Abidin S Pd M KomRopii Ahmad,referensi,referensi
Buku undang-undang ketenagakerjaan Republik Indonesia,EGC,1997,Jakarta,Bates Barbara,referensi,referensi
Hukum dan undang-undang perkebunan,Politeknik Harapan Bersama Tegal,2015,Tegal,Sakinah Azmi Nur Meilani,referensi,referensi
Menggunakan Alat Ukur,Politeknik Harapan Bersama Tegal,2019,Tegal,David Bani Adam SH MHPujiati Eka,teknik,teknik
Prinsip-prinsip Perancangan Teknik,salemba Medika,2004,Jakarta,Malvino Albert Paul,teknik,teknik
Rancang Bangun 3 Dimensi dengan AutoCAD,Penebar Swadaya,2001,Jakarta,Dalimartha SetiawanWijayakusuma M Hembing,teknik,teknik
Teknologi tepat guna & dunia alternatif,Alfabeta,2013,Bandung,Afrianti Leni Herliani,teknik,teknik
Trigonometri: Mengupas konsep dasar dan pembelajaran,Universitas Indonesia,2010,Jakarta,Kadir Abdul,teknik,teknik
Bacteriophage (Fage) sebagai biokontrol alami mikrobia pada pangan dan lingkungan,Politeknik Harapan Bersama Tegal,2017,Tegal,Darmawan Budi,teknik,teknik
Bioproses limbah pertanian,Graha Ilmu,2007,Yogyakarta,SumadiMarianti Aditya,teknik,teknik
Hidrologi,Tiga Serangkai,2013,Solo,Alkastani Rohmat Nurhadi,teknik,teknik
Ilmu dan teknologi biomaterial,Rineka Cipta,2004,Jakarta,Prasetya Joko Tri,teknik,teknik
Penegakan hukum lingkungan,Bumi Aksara,2020,Jakarta,Mursidin,teknik,teknik
Human Development,Harapan Offset,1982,Bandung,Soepomo Iman,umum,manajemen & bisnis
Ilmu Alamiah Dasar,EGC,2019,Jakarta,Allen Jr Loyd V,umum,kebidanan
Ilmu Budaya Dasar,Kencana,2008,Jakarta,Thoha Miftah,umum,manajemen & bisnis
Ilmu Budaya Dasar Suatu Pengantar,Raja Grafindo Persada,2019,Jakarta,Maskoeri,umum,umum
Ilmu dan teknologi benih 1,Yayasan Bina Pustaka Sarwono Prawirohardjo,2005,Jakarta,Wiknjosastro Hanifah,umum,kebidanan
"Ilmu Informasi, Komunikasi, dan Kepustakaan Edisi Kedua",Rineka Cipta,2010,Jakarta,Kartasapoetra GMarsetyo,umum,akuntansi
Ilmu Komunikasi,salemba Medika,2009,Jakarta,Mubarak Wahid IqbalChayatin Nurul,umum,umum
Ilmu Komunikasi Pengantar Studi,Cipta Rineka,2003,Jakarta,Notoatmodjo Soekidjo,umum,umum
Ilmu Komunikasi Suatu Pengantar,salemba Medika,2012,Jakarta,Mubarak Wahit Iqbal,umum,umum
Ilmu Prilaku M.A 104,D-Medika,2012,Yogyakarta,Widodo Hendra,umum,kebidanan
